Marker.Name,Alternate1,Alternate2,Alternate3,Alternate4,Alternate5,Alternate6,Alternate7,Alternate8,Alternate9,Alternate10
IL4,IL4,Interleukin-4,Il4,,,,,,,
IL5,IL5,Interleukin-5,Il5,,,,,,,
IL6,IL6,Interleukin-6,Il6,,,,,,,
IL7,IL7,Interleukin-7,Il7,,,,,,,
IL9,IL9,Interleukin-9,Il9,,,,,,,
IRF4,IRF4,IRF.4,Irf4,IRF-4,,,,,,
ivCD45,ivCD45,intravenous*CD45,,i.v.*CD45,intravenousCD45,i.v.CD45,injectedCD45,injCD45,,
Ki67,Ki67,Ki_67,Ki67,,,,,,,
KLRG1,KLRG1,Klrg1,,,,,,,,
LAG3,LAG3,LAG-3,Lag3,,,,,,,
LAP,LAP,latent.TGF-beta,Lap,,,,,,,
Ly49D,Ly49D,,,,,,,,,
Ly6C,Ly6C,Ly.6c,Ly-6C,Ly_6C,,,,,,
Ly6G,Ly6G,Ly.6G,Ly-6G,Ly_6G,,,,,,
LYVE1,LYVE1,Lyve1,,,,,,,,
mCherry,mCherry,,,,,,,,,
MerTK,MerTK,MertK,Mertk,,,,,,,
MHCI,MHCI,H-2Kk,H-2Db,H-2Kb,H-2Db,MHC1,,,,
MHCII,MHCII,I-A,I-E,ClassII,MHC2,,,,,
Neuropilin,Neuropilin1,CD304,Neuropilin,Neuropilin-1,Nrp1,Nrp-1,,,,
NFIL3,NFIL3,E4BP4,,,,,,,,
NK1.1,CD161,NK1.1,NK1,NK1_1,NK1 1,,,,,
NKp46,NKp46,NK.p46,Nkp46,NKp46 (CD335),CD335,NK-p46,,,,
Nur77,Nur77,,,,,,,,,
O4,O4,,,,,,,,,
P2RY12,P2RY12,P2Ry12,P2RY12 (P2Ry12),,,,,,,
P2X7R,P2XR7,P2RX7,P2Xr7,,,,,,,
PanCytokeratin,PanCytokeratin,Pan.cytokeratin,Pan-cytokeratin,Pan_cytokeratin,,,,,,
PAX5,PAX5,,,,,,,,,
